Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
1,7,1,1,8,0,-10,-61773.40625,5523.750977,-1734.612061,5461.459473,-20291.85352
1,8,2,1,9,0,-9.75,-92329.90625,5196.158691,-1516.888306,5121.862305,-19988.35156
1,9,3,1,10,0,-9.5,-123606.4063,4818.566895,-1375.164551,4740.265625,-19650.84766
1,10,4,1,11,0,-9.25,-154530.9219,4390.974609,-1363.440796,4342.668945,-19323.3457
1,11,5,1,12,0,-9,-183759.4219,3979.382568,-1429.717041,3963.071777,-19006.84375
,,,,,,-8.75,-210187.9219,3615.790283,-1503.993286,3607.474854,-18664.3418
,,,,,,-8.5,-233208.4375,3286.198242,-1580.269531,3275.87793,-18264.83984
,,,,,,-8.25,-253428.9375,2960.606201,-1638.545776,2954.281006,-17802.83594
,,,,,,-8,-271905.4375,2623.01416,-1626.821899,2628.684082,-17304.33398
,,,,,,-7.75,-289389.9375,2319.421875,-1553.098145,2343.086914,-16803.83203
,,,,,,-7.5,-306522.4375,2117.829834,-1475.37439,2137.490234,-16308.33008
,,,,,,-7.25,-323686.9375,1990.237671,-1413.650635,1981.893188,-15780.32813
,,,,,,-7,-341331.4375,1858.64563,-1325.92688,1830.296265,-15157.82617
,,,,,,-6.75,-360543.9375,1685.053467,-1218.203125,1652.699341,-14455.32324
,,,,,,-6.5,-381180.4688,1459.461426,-1136.47937,1421.102417,-13773.32129
,,,,,,-6.25,-401256.9688,1183.869263,-1070.755615,1127.505493,-13154.81836
,,,,,,-6,-418757.4688,878.2771606,-973.0318604,809.9085693,-12587.81641
,,,,,,-5.75,-432001.9688,584.6850586,-825.3081665,520.3116455,-12090.31445
,,,,,,-5.5,-439902.4688,341.0929565,-657.5844116,290.7147217,-11669.31152
,,,,,,-5.25,-442474.9688,171.500824,-549.8606567,131.1177979,-11322.30957
,,,,,,-5,-440743.5,31.90875244,-512.1369019,5.520874023,-11045.30762
,,,,,,-4.75,-437060,-127.6834106,-448.413147,-144.0760498,-10790.30469
,,,,,,-4.5,-434576.5,-301.2755127,-300.6893921,-321.6729736,-10540.80273
,,,,,,-4.25,-435293,-468.8675537,-154.9656372,-481.2698975,-10338.30078
,,,,,,-4,-439913.5,-628.4597168,-83.24186707,-614.8668213,-10199.29785
,,,,,,-3.75,-447398,-796.0517578,-61.51811218,-754.4637451,-10131.7959
,,,,,,-3.5,-454098.5,-985.6439209,-21.79436493,-940.0606689,-10166.29395
,,,,,,-3.25,-455727,-1187.236084,63.92938995,-1159.657593,-10312.29102
,,,,,,-3,-449419.5,-1376.828125,217.6531525,-1377.254517,-10536.28906
,,,,,,-2.75,-434392,-1542.420166,475.3768921,-1570.851563,-10776.28711
,,,,,,-2.5,-412340.5,-1694.012451,867.100647,-1732.448486,-10988.78418
,,,,,,-2.25,-385889.0313,-1857.604492,1372.824463,-1876.04541,-11166.78223
,,,,,,-2,-356813.5313,-2025.196533,1896.548218,-2003.642334,-11321.7793
,,,,,,-1.75,-325962.0313,-2154.788574,2376.271973,-2113.239258,-11470.27734
,,,,,,-1.5,-293558.5313,-2194.380859,2819.995605,-2168.836182,-11640.27539
,,,,,,-1.25,-259475.0313,-2119.9729,3263.719482,-2128.433105,-11835.77344
,,,,,,-1,-224495.5313,-1981.564941,3695.443115,-2022.030029,-12008.77051
,,,,,,-0.75,-190124.0469,-1837.157227,4081.166992,-1889.626953,-12110.76855
,,,,,,-0.5,-157720.5469,-1684.749268,4434.890625,-1727.223877,-12161.26563
,,,,,,-0.25,-128197.0469,-1488.341309,4806.614258,-1516.820801,-12221.26367
,,,,,,0,-101217.5625,-1245.933472,5214.338379,-1256.417725,-12286.76172
,,,,,,0.25,-75806.0625,-955.5255127,5546.062012,-932.0146484,-12331.75977
,,,,,,0.5,-50922.5625,-605.1176758,5643.785645,-487.6115723,-12410.75684
,,,,,,0.75,-25255.0625,-226.7097778,5615.509277,12.79150391,-12478.75488
,,,,,,1,1452.4375,129.6981201,5755.233398,373.1945801,-12366.75195
,,,,,,1.25,28447.9375,436.1060181,6074.957031,559.5976563,-12111.75
,,,,,,1.5,55795.4375,660.513916,6432.680664,670.0007324,-11865.74805
,,,,,,1.75,83350.90625,814.9217529,6770.404297,784.4038086,-11640.24512
,,,,,,2,109754.4063,969.3297119,6980.128418,942.8068848,-11262.74316
,,,,,,2.25,142845.9063,1045.737549,6651.852051,1017.209961,-8786.240234
,,,,,,2.5,215857.4375,722.1454468,5009.575684,685.6130371,739.7617188
,,,,,,2.75,351668.875,8.553344727,2065.299561,-23.98388672,17933.76367
,,,,,,3,508632.375,-551.0388184,-782.9767456,-585.5808105,34158.76563
,,,,,,3.25,623947.875,-702.6308594,-2453.25293,-741.1777344,42193.76953
,,,,,,3.5,681215.375,-694.2230225,-3063.529297,-718.7746582,43055.26953
,,,,,,3.75,699426.875,-755.8150635,-3095.80542,-760.371582,40625.77344
,,,,,,4,699254.375,-911.4072266,-2920.081787,-907.9685059,37419.77344
,,,,,,4.25,692697.875,-1102.999268,-2724.35791,-1097.56543,34389.77734
,,,,,,4.5,684557.375,-1294.591431,-2540.634277,-1291.162354,31755.28125
,,,,,,4.75,674560.875,-1486.183594,-2370.9104,-1476.759277,29527.28125
,,,,,,5,660212.375,-1657.775635,-2247.186768,-1628.356201,27630.28516
,,,,,,5.25,639367.875,-1783.367676,-2183.462891,-1743.953125,25966.78516
,,,,,,5.5,611339.375,-1866.959961,-2153.739258,-1833.550049,24465.28906
,,,,,,5.75,577550.875,-1902.552002,-2100.015381,-1877.146973,23054.79297
,,,,,,6,540546.375,-1862.144043,-2040.291748,-1838.743896,21689.29297
,,,,,,6.25,502133.875,-1741.736084,-2040.567871,-1722.34082,20369.29688
,,,,,,6.5,463065.375,-1573.328369,-2114.844238,-1575.937744,19135.29883
,,,,,,6.75,423644.8125,-1394.92041,-2205.120361,-1415.53479,18044.80078
,,,,,,7,383760.3125,-1248.512451,-2267.396729,-1275.131714,17128.30273
,,,,,,7.25,343875.8125,-1144.104614,-2305.672852,-1172.728638,16351.30469
,,,,,,7.5,305191.3125,-1007.696777,-2367.949219,-1042.325562,15653.30664
,,,,,,7.75,268810.8125,-789.2888184,-2502.225342,-821.9224854,15005.80859
,,,,,,8,235710.3125,-544.8809814,-2656.501709,-563.5194092,14432.3125
,,,,,,8.25,206145.8125,-352.4730225,-2762.777832,-353.116333,13970.81445
,,,,,,8.5,179573.3125,-236.0651855,-2829.054199,-202.7132568,13621.81641
,,,,,,8.75,155144.8125,-157.6572876,-2887.330322,-100.3101807,13341.81836
,,,,,,9,131868.3125,-61.24938965,-2985.606689,-3.907104492,13094.32031
,,,,,,9.25,108831.8125,63.1585083,-3145.882813,100.4959717,12870.32227
,,,,,,9.5,85779.3125,181.5664063,-3332.15918,196.8990479,12656.32617
,,,,,,9.75,62150.8125,273.9743042,-3508.435303,269.302124,12438.32813
,,,,,,10,37082.28125,332.3821716,-3680.71167,309.7052002,12221.33008
,,,,,,10.25,11277.78125,360.7900696,-3854.987793,320.1082458,12002.33203
,,,,,,10.5,-13358.71875,387.1979675,-4021.26416,338.511322,11759.83398
,,,,,,10.75,-34779.21875,411.6058655,-4141.540527,370.9143982,11487.33789
,,,,,,11,-51191.71875,394.0137329,-4223.816406,381.3174744,11194.83984
,,,,,,11.25,-61716.21875,336.4216309,-4308.092773,349.7205505,10879.3418
,,,,,,11.5,-66736.73438,268.8295288,-4368.369141,282.1236267,10533.84375
,,,,,,11.75,-67917.23438,203.2374268,-4370.645508,196.5267029,10165.3457
,,,,,,12,-68809.73438,135.6453247,-4340.921387,118.9297485,9646.847656
,,,,,,12.25,-82182.23438,182.0531921,-4005.197754,183.3328247,7129.351563
,,,,,,12.5,-144386.75,624.4611206,-2487.474121,643.7359009,-2192.147461
,,,,,,12.75,-280271.25,1352.868896,418.2497253,1354.138916,-19021.14453
,,,,,,13,-447419.75,1705.276855,3403.973389,1672.541992,-35031.14063
