Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
,,,,,,5.75,-556421.125,-8621.1328125,-4234.19287109375,-8612.640625,53068.359375,
,,,,,,6,-788026.25,-8477.1376953125,-3399.54248046875,-8469.396484375,50011.140625,
,,,,,,6.25,-1010495.3125,-8262.3935546875,-2651.39208984375,-8280.4013671875,47060.1796875,
,,,,,,6.5,-1217688.5,-8079.6484375,-1992.24169921875,-8118.15625,44265.4609375,
,,,,,,6.75,-1404669.5,-8025.654296875,-1412.59130859375,-8067.912109375,41712,
,,,,,,7,-1568666.625,-8108.16015625,-863.940673828125,-8144.4169921875,39430.03125,
,,,,,,7.25,-1708199.625,-8276.4150390625,-329.790283203125,-8293.671875,37361.3125,
,,,,,,7.5,-1822552.75,-8431.9208984375,137.360107421875,-8426.177734375,35371.6015625,
,,,,,,7.75,-1911701.875,-8438.4267578125,455.510498046875,-8425.6826171875,33300.63671875,
,,,,,,8,-1975067,-8256.681640625,591.160888671875,-8259.9384765625,31122.91796875,
,,,,,,8.25,-2012484,-8026.6875,601.311401367188,-8050.443359375,29013.453125,
,,,,,,8.5,-2025465.125,-7842.9423828125,531.9619140625,-7871.4482421875,27093.23828125,
,,,,,,8.75,-2015546.25,-7604.1982421875,369.6123046875,-7626.7041015625,25247.2734375,
,,,,,,9,-1983499.25,-7259.2041015625,169.7626953125,-7274.958984375,23367.55859375,
,,,,,,9.25,-1930844.375,-6922.208984375,14.913330078125,-6941.46484375,21526.34375,
,,,,,,9.5,-1859741.5,-6721.21484375,-70.436279296875,-6747.7197265625,19850.62890625,
,,,,,,9.75,-1771918.5,-6754.220703125,4.214111328125,-6770.474609375,18487.9140625,
,,,,,,10,-1668199.625,-7083.2255859375,344.864501953125,-7085.23046875,17503.1953125,
,,,,,,10.25,-1547664.75,-7605.2314453125,832.015014648438,-7612.9853515625,16705.73046875,
,,,,,,10.5,-1408725.875,-8056.736328125,1190.16540527344,-8073.740234375,15798.265625,
,,,,,,10.75,-1250218.875,-8295.4921875,1321.31591796875,-8307.74609375,14647.55078125,
,,,,,,11,-1071372,-8423.498046875,1352.96630859375,-8428.2509765625,13347.3359375,
,,,,,,11.25,-873357.0625,-8557.0029296875,1384.61669921875,-8557.5068359375,12079.12109375,
,,,,,,11.5,-660386.125,-8755.5087890625,1478.26721191406,-8756.51171875,11020.40625,
,,,,,,11.75,-438411.25,-9197.7646484375,1850.41760253906,-9208.5166015625,10461.69140625,
,,,,,,12,-213708.34375,-10177.01953125,2843.56811523438,-10201.0224609375,10496.72265625,
,,,,,,12.25,7902.5625,-11965.525390625,5375.71875,-12008.27734375,7223.2578125,
,,,,,,12.5,221697.5,-14536.78125,11349.369140625,-14602.783203125,-10021.70703125,
,,,,,,12.75,425136.375,-17460.037109375,21064.01953125,-17521.287109375,-42983.671875,
,,,,,,13,620171.3125,-20511.541015625,31477.669921875,-20524.79296875,-73719.140625,
,,,,,,13.25,812042.25,-23887.296875,39770.3203125,-23845.548828125,-87059.8515625,
,,,,,,13.5,1005657.125,-27632.30078125,45706.47265625,-27565.8046875,-85189.3125,
,,,,,,13.75,1204284,-31513.05859375,50087.12109375,-31439.30859375,-76324.78125,
,,,,,,14,1407539,-35325.5625,53603.2734375,-35235.3125,-65791.5,
,,,,,,14.25,1610345.875,-39054.8203125,56770.421875,-38943.5703125,-55605.7109375,
,,,,,,14.5,1806116.75,-42765.07421875,59889.57421875,-42647.82421875,-46136.9296875,
,,,,,,14.75,1989567.75,-46480.08203125,63042.22265625,-46373.828125,-37300.14453125,
,,,,,,15,2156792.5,-50211.3359375,66224.875,-50126.3359375,-28974.609375,
,,,,,,15.25,2305309.5,-53896.33984375,69349.0234375,-53837.58984375,-21160.32421875,
,,,,,,15.5,2433492.5,-57319.34765625,72180.671875,-57278.34765625,-14041.291015625,
