Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
1,7,1,1,8,0,-10,-131183.78125,9719.66796875,-4263.74951171875,9657.42578125,-32217.103515625,
1,8,2,1,9,0,-9.75,-118310.25,9629.90625,-4006.77099609375,9559.6552734375,-32119.21484375,
1,9,3,1,10,0,-9.5,-114652.6875,9573.142578125,-3811.79296875,9532.884765625,-32001.328125,
1,10,4,1,11,0,-9.25,-121611.15625,9574.380859375,-3698.814453125,9561.1142578125,-31867.939453125,
1,11,5,1,12,0,-9,-139561.59375,9581.6171875,-3555.83642578125,9580.34375,-31641.05078125,
,,,,,,-8.75,-168232.046875,9554.8544921875,-3294.85791015625,9545.5732421875,-31311.662109375,
,,,,,,-8.5,-204182.5,9490.091796875,-2972.87963867188,9460.802734375,-31028.2734375,
,,,,,,-8.25,-240188.953125,9364.3291015625,-2649.9013671875,9326.0322265625,-30901.384765625,
,,,,,,-8,-269307.40625,9149.56640625,-2309.9228515625,9120.26171875,-30873.99609375,
,,,,,,-7.75,-288345.875,8852.8037109375,-1915.94458007813,8841.4912109375,-30839.109375,
,,,,,,-7.5,-297888.3125,8533.041015625,-1462.96630859375,8538.720703125,-30770.720703125,
,,,,,,-7.25,-301262.78125,8302.2783203125,-963.988037109375,8318.9501953125,-30669.33203125,
,,,,,,-7,-305021.21875,8235.515625,-443.009643554688,8260.1796875,-30469.443359375,
,,,,,,-6.75,-318115.6875,8312.7529296875,38.9686279296875,8323.4091796875,-30148.0546875,
,,,,,,-6.5,-347906.125,8491.990234375,425.946929931641,8464.638671875,-29799.166015625,
,,,,,,-6.25,-395952.59375,8721.2275390625,736.925231933594,8656.8681640625,-29501.779296875,
,,,,,,-6,-458271.03125,8902.46484375,995.903564453125,8825.09765625,-29286.390625,
,,,,,,-5.75,-527669.5,8947.701171875,1212.8818359375,8879.3271484375,-29194.501953125,
,,,,,,-5.5,-594307.9375,8803.9384765625,1420.86022949219,8744.556640625,-29231.61328125,
,,,,,,-5.25,-648594.375,8469.17578125,1634.83850097656,8407.7861328125,-29339.724609375,
,,,,,,-5,-684920.875,8012.4130859375,1838.81677246094,7953.01513671875,-29464.3359375,
,,,,,,-4.75,-702119.3125,7539.650390625,2020.79516601563,7501.24462890625,-29595.947265625,
,,,,,,-4.5,-702549.75,7161.8876953125,2168.7734375,7147.47412109375,-29743.560546875,
,,,,,,-4.25,-690700.1875,6926.125,2299.75170898438,6909.70361328125,-29875.171875,
,,,,,,-4,-671274.625,6792.3623046875,2443.72998046875,6744.93310546875,-29957.283203125,
,,,,,,-3.75,-647993.125,6683.599609375,2557.70849609375,6611.16259765625,-29998.89453125,
,,,,,,-3.5,-623055.5625,6533.8369140625,2589.68676757813,6462.39208984375,-29996.505859375,
