Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
1,7,1,1,8,0,-10,364227.8125,10654.9248046875,285.50244140625,10636.59375,-34148.29296875,
1,8,2,1,9,0,-9.75,294610.25,10618.595703125,540.89794921875,10578.5126953125,-33720.47265625,
1,9,3,1,10,0,-9.5,225336.625,10528.767578125,738.29345703125,10474.431640625,-33302.03125,
1,10,4,1,11,0,-9.25,155977.0625,10394.189453125,878.18896484375,10329.6015625,-32843.0859375,
1,11,5,1,12,0,-9,84899.46875,10215.361328125,1016.58447265625,10156.021484375,-32300.39453125,
,,,,,,-8.75,10747.875,10005.033203125,1205.97998046875,9970.9404296875,-31694.076171875,
,,,,,,-8.5,-66760.71875,9804.705078125,1451.37573242188,9803.359375,-31090.0078125,
,,,,,,-8.25,-147086.296875,9632.376953125,1705.77124023438,9655.529296875,-30569.814453125,
,,,,,,-8,-227787.890625,9435.298828125,1924.66674804688,9461.19921875,-30197.12109375,
,,,,,,-7.75,-305689.46875,9148.970703125,2096.56225585938,9157.1181640625,-29960.927734375,
,,,,,,-7.5,-379600.0625,8764.642578125,2253.45776367188,8747.287109375,-29795.484375,
,,,,,,-7.25,-449364.65625,8330.814453125,2421.85327148438,8294.95703125,-29646.91796875,
,,,,,,-7,-515108.25,7895.236328125,2572.24877929688,7850.126953125,-29488.474609375,
,,,,,,-6.75,-577135.8125,7457.658203125,2690.64453125,7409.7958984375,-29329.03125,
,,,,,,-6.5,-634054.4375,7012.580078125,2806.0400390625,6966.9658203125,-29219.087890625,
,,,,,,-6.25,-682898,6572.001953125,2942.935546875,6528.634765625,-29208.89453125,
,,,,,,-6,-721127.625,6132.42333984375,3122.8310546875,6091.5546875,-29281.826171875,
,,,,,,-5.75,-747362.1875,5657.59521484375,3357.7265625,5617.7236328125,-29364.8828125,
,,,,,,-5.5,-761802.75,5142.51708984375,3608.6220703125,5091.6435546875,-29421.689453125,
,,,,,,-5.25,-766614.375,4650.43896484375,3811.017578125,4583.81298828125,-29486.37109375,
,,,,,,-5,-765361.9375,4241.36083984375,3970.9130859375,4167.732421875,-29572.1796875,
,,,,,,-4.75,-762484.5,3887.53247070313,4173.80859375,3825.90185546875,-29575.611328125,
,,,,,,-4.5,-761167.125,3510.4541015625,4476.7041015625,3474.0712890625,-29406.04296875,
,,,,,,-4.25,-761136.75,3115.3759765625,4808.599609375,3091.99072265625,-29140.349609375,
,,,,,,-4,-759521.3125,2753.0478515625,5035.4951171875,2736.91015625,-28889.28125,
,,,,,,-3.75,-751817.875,2396.4697265625,5166.390625,2397.32958984375,-28655.337890625,
,,,,,,-3.5,-733065.5,1968.89135742188,5345.2861328125,1981.9990234375,-28399.89453125,
,,,,,,-3.25,-700002.0625,1432.81323242188,5645.181640625,1447.16845703125,-28128.201171875,
,,,,,,-3,-651837.625,819.235107421875,6015.5771484375,836.587890625,-27860.7578125,
,,,,,,-2.75,-590355.25,185.40673828125,6396.47265625,214.50732421875,-27583.94140625,
,,,,,,-2.5,-519483.8125,-418.92138671875,6794.3681640625,-380.5732421875,-27272.498046875,
,,,,,,-2.25,-442935.4375,-968.74951171875,7202.763671875,-935.65380859375,-26901.8046875,
,,,,,,-2,-363081,-1491.07763671875,7561.6591796875,-1462.484375,-26430.111328125,
,,,,,,-1.75,-282513.59375,-2002.90576171875,7827.0546875,-1968.06494140625,-25837.16796875,
,,,,,,-1.5,-204209.1875,-2465.734375,8021.45068359375,-2435.8955078125,-25153.474609375,
,,,,,,-1.25,-129953.78125,-2869.5625,8209.845703125,-2859.22607421875,-24437.03125,
,,,,,,-1,-59842.375,-3264.890625,8433.7421875,-3266.05615234375,-23765.087890625,
,,,,,,-0.75,7215.0625,-3688.46875,8664.63671875,-3696.88671875,-23194.64453125,
,,,,,,-0.5,72582.46875,-4137.796875,8871.033203125,-4153.9677734375,-22706.703125,
,,,,,,-0.25,137242.875,-4614.875,9073.427734375,-4618.0478515625,-22268.1328125,
,,,,,,0,202073.3125,-5098.203125,9265.82421875,-5081.62890625,-21916.06640625,
,,,,,,0.25,266558.6875,-5510.53125,9397.71875,-5470.708984375,-21693.248046875,
,,,,,,0.5,327719.125,-5788.609375,9443.115234375,-5654.0400390625,-21575.3046875,
,,,,,,0.75,383185.5,-6004.4375,9493.009765625,-5737.6201171875,-21458.361328125,
,,,,,,1,434222.9375,-6260.0166015625,9678.90625,-5972.201171875,-21281.41796875,
,,,,,,1.25,484405.3125,-6506.5947265625,9969.80078125,-6304.03125,-21124.474609375,
,,,,,,1.5,535738.75,-6676.4228515625,10239.197265625,-6562.611328125,-21028.03125,
,,,,,,1.75,586350.1875,-6762.2509765625,10422.091796875,-6713.6923828125,-20957.83984375,
,,,,,,2,631946.5625,-6753.8291015625,10470.48828125,-6750.0224609375,-20607.39453125,
,,,,,,2.25,668754,-6704.1572265625,9617.3837890625,-6719.103515625,-15306.7021484375,
,,,,,,2.5,694851.375,-6929.2353515625,5908.779296875,-6936.93359375,6625.7421875,
,,,,,,2.75,710077.875,-7867.5634765625,-868.8251953125,-7867.2646484375,46113.375,
,,,,,,3,716140.25,-9399.8916015625,-7410.4296875,-9415.3447265625,82572.625,
,,,,,,3.25,716239.625,-10862.2197265625,-11008.0341796875,-10902.42578125,99680.6953125,
,,,,,,3.5,714414,-11798.7978515625,-12011.638671875,-11845.005859375,100351.390625,
,,,,,,3.75,714411.5,-12186.8759765625,-11780.2431640625,-12218.8369140625,93568.140625,
,,,,,,4,717420.875,-12185.4541015625,-11173.84765625,-12202.6669921875,85038.9609375,
,,,,,,4.25,721923.25,-11933.0322265625,-10544.9521484375,-11949.248046875,77020.71875,
,,,,,,4.5,724894.75,-11515.111328125,-9981.556640625,-11529.328125,70086.2890625,
,,,,,,4.75,722005.125,-10976.189453125,-9485.1611328125,-10979.6591796875,64260.4765625,
,,,,,,5,709189.5,-10312.267578125,-9085.765625,-10301.2392578125,59328.921875,
,,,,,,5.25,684506.875,-9493.095703125,-8804.8701171875,-9464.3203125,55019.7421875,
,,,,,,5.5,648154.3125,-8514.923828125,-8634.474609375,-8476.650390625,51178.1796875,
,,,,,,5.75,602195.75,-7453.501953125,-8557.0791015625,-7422.2314453125,47712.4375,
,,,,,,6,549089.1875,-6407.580078125,-8507.18359375,-6387.5615234375,44540.3203125,
,,,,,,6.25,489762.5625,-5421.158203125,-8417.7880859375,-5410.642578125,41627.203125,
,,,,,,6.5,425125,-4490.236328125,-8290.892578125,-4499.22265625,38934.703125,
,,,,,,6.75,357767.375,-3582.814453125,-8183.9970703125,-3623.80322265625,36393.3984375,
,,,,,,7,290100.8125,-2675.14306640625,-8141.6015625,-2737.3837890625,34003.09375,
,,,,,,7.25,222614.25,-1749.47119140625,-8186.7060546875,-1805.71435546875,31767.66015625,
,,,,,,7.5,154486.625,-705.04931640625,-8364.810546875,-743.794921875,29536.1015625,
,,,,,,7.75,84533.0625,621.12255859375,-8715.4150390625,587.87451171875,27153.171875,
,,,,,,8,11807.46875,2189.79443359375,-9180.01953125,2153.5439453125,24710.23828125,
,,,,,,8.25,-64395.125,3748.21606445313,-9635.6240234375,3707.21362304688,22430.18359375,
,,,,,,8.5,-143639.71875,5244.1376953125,-10119.228515625,5191.6328125,20283,
,,,,,,8.75,-222749.3125,6858.5595703125,-10818.8330078125,6807.552734375,17991.0703125,
,,,,,,9,-298331.875,8628.4814453125,-11736.4365234375,8602.2216796875,15472.13671875,
,,,,,,9.25,-369442.46875,10350.1533203125,-12629.041015625,10349.890625,12961.70703125,
,,,,,,9.5,-436303.0625,11765.3251953125,-13255.646484375,11780.310546875,10754.6484375,
,,,,,,9.75,-499470.65625,12676.4970703125,-13467.25,12687.98046875,9043.83984375,
,,,,,,10,-558846.25,13063.6689453125,-13248.35546875,13050.1494140625,7804.78515625,
,,,,,,10.25,-612386.8125,13163.0908203125,-12786.958984375,13119.0693359375,6769.1015625,
,,,,,,10.5,-657168.4375,13198.0126953125,-12311.564453125,13137.23828125,5706.296875,
,,,,,,10.75,-690746,13176.9345703125,-11867.66796875,13110.158203125,4594.48828125,
,,,,,,11,-711702.625,13066.35546875,-11415.2724609375,12990.0771484375,3494.806640625,
,,,,,,11.25,-720844.1875,12900.02734375,-10967.376953125,12815.4970703125,2491.625,
,,,,,,11.5,-721378.75,12576.44921875,-10416.4814453125,12495.916015625,1818.068359375,
,,,,,,11.75,-717588.375,11673.62109375,-9346.5859375,11604.3359375,1948.88671875,
,,,,,,12,-713701,9642.29296875,-7187.1904296875,9582.505859375,3106.330078125,
,,,,,,12.25,-711997.5,6167.21484375,-2910.794921875,6120.4248046875,1271.3984375,
,,,,,,12.5,-711694.125,1485.88671875,5332.6005859375,1469.59423828125,-14581.2841796875,
,,,,,,12.75,-709519.75,-3747.19140625,17657.99609375,-3723.236328125,-46269.71484375,
,,,,,,13,-700453.3125,-9201.76953125,30692.890625,-9153.81640625,-75449.5234375,
,,,,,,13.25,-679568.875,-14973.84765625,41299.28515625,-14920.646484375,-86815.328125,
,,,,,,13.5,-644137.5,-20951.92578125,49093.18359375,-20896.478515625,-82895.765625,
,,,,,,13.75,-594150.0625,-26767.00390625,54887.578125,-26713.55859375,-72215.1875,
,,,,,,14,-532194.625,-32181.33203125,59462.97265625,-32139.140625,-60171.75,
,,,,,,14.25,-462227.25,-37206.91015625,63409.37109375,-37173.96875,-48802.9296875,
,,,,,,14.5,-387161.84375,-41989.73828125,67130.265625,-41955.05078125,-38465.98828125,
,,,,,,14.75,-309099.4375,-46634.06640625,70816.6640625,-46590.37890625,-28936.794921875,
,,,,,,15,-231172.015625,-51139.64453125,74451.0546875,-51091.7109375,-19958.8515625,
,,,,,,15.25,-156647.59375,-55439.72265625,77882.953125,-55395.04296875,-11513.158203125,
,,,,,,15.5,-86828.1875,-59386.80078125,80860.34375,-59339.12109375,-3822.216796875,
,,,,,,15.75,-20948.78125,-62781.3828125,83155.2421875,-62723.203125,2861.1015625,
,,,,,,16,42608.625,-65445.4609375,84692.640625,-65378.53125,8411.671875,
,,,,,,16.25,105223.03125,-67240.5390625,85468.53125,-67172.8671875,12820.11328125,
,,,,,,16.5,167907.4375,-68125.8671875,85504.4296875,-68062.1953125,16141.0546875,
,,,,,,16.75,231317.875,-68172.9453125,84851.328125,-68111.0234375,18461.875,
,,,,,,17,294308.25,-67497.0234375,83578.71875,-67432.109375,19883.94140625,
,,,,,,17.25,354856.6875,-66286.8515625,81809.1171875,-66203.9375,20528.13671875,
,,,,,,17.5,412818.125,-64759.1796875,79713.5078125,-64648.515625,20544.953125,
,,,,,,17.75,468942.5,-63002.7578125,77439.40625,-62877.34375,20100.0234375,
,,,,,,18,523440.9375,-61050.33203125,75079.3046875,-60922.67578125,19362.71484375,
,,,,,,18.25,575935.3125,-58966.16015625,72672.6953125,-58840.5078125,18427.16015625,
