Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
,,,,,,12.25,108902.46875,-9845.5625,5943.34130859375,-9866.8193359375,10065.142578125,
,,,,,,12.5,-5278.515625,-9668.861328125,7749.69921875,-9682.123046875,2582.80078125,
,,,,,,12.75,-228067.484375,-9252.1611328125,10449.056640625,-9261.4267578125,-11298.54296875,
,,,,,,13,-462584.4375,-9787.4599609375,12999.4150390625,-9796.73046875,-24118.88671875,
,,,,,,13.25,-607773.375,-11214.759765625,14558.7734375,-11236.03515625,-30053.728515625,
,,,,,,13.5,-659346.375,-12764.05859375,15219.130859375,-12803.337890625,-30205.0703125,
,,,,,,13.75,-658919.375,-14135.357421875,15428.4892578125,-14186.6416015625,-27793.4140625,
,,,,,,14,-638684.3125,-15368.6572265625,15452.8466796875,-15401.9462890625,-24870.7578125,
,,,,,,14.25,-613777.25,-16539.95703125,15368.2041015625,-16543.25,-22248.099609375,
,,,,,,14.5,-589222.25,-17695.255859375,15217.5625,-17670.5546875,-20060.94140625,
,,,,,,14.75,-566011.25,-18834.5546875,15078.919921875,-18779.857421875,-18179.78515625,
,,,,,,15,-544128.1875,-19957.853515625,15029.2783203125,-19875.16015625,-16468.12890625,
,,,,,,15.25,-523589.15625,-21051.15234375,15040.6357421875,-20962.46484375,-14930.9716796875,
,,,,,,15.5,-504538.125,-22098.453125,15002.994140625,-22035.76953125,-13615.814453125,
,,,,,,15.75,-487087.09375,-23105.751953125,14907.3515625,-23085.072265625,-12486.6572265625,
,,,,,,16,-471204.0625,-24129.05078125,14821.7099609375,-24132.376953125,-11447.5,
,,,,,,16.25,-456777.03125,-25220.349609375,14781.0673828125,-25229.6796875,-10403.84375,
,,,,,,16.5,-443646,-26365.6484375,14782.42578125,-26364.984375,-9359.6865234375,
,,,,,,16.75,-431666.96875,-27450.94921875,14802.783203125,-27432.287109375,-8401.029296875,
,,,,,,17,-420679.9375,-28372.248046875,14819.1416015625,-28349.591796875,-7539.3720703125,
,,,,,,17.25,-410620.90625,-29113.546875,14811.4990234375,-29112.89453125,-6725.21484375,
,,,,,,17.5,-401441.875,-29708.845703125,14745.857421875,-29730.19921875,-5980.0576171875,
,,,,,,17.75,-393062.84375,-30184.14453125,14604.21484375,-30205.50390625,-5327.90087890625,
,,,,,,18,-385355.8125,-30557.4453125,14390.5732421875,-30574.806640625,-4730.74365234375,
,,,,,,18.25,-378208.78125,-30884.744140625,14127.9306640625,-30898.111328125,-4182.0869140625,
,,,,,,18.5,-371589.75,-31178.04296875,13833.2890625,-31187.4140625,-3725.9296875,
,,,,,,18.75,-365402.71875,-31383.341796875,13514.646484375,-31396.71875,-3356.2724609375,
,,,,,,19,-359615.6875,-31470.640625,13179.0048828125,-31494.021484375,-3022.615234375,
,,,,,,19.25,-354228.65625,-31423.94140625,12817.3623046875,-31439.326171875,-2731.45849609375,
,,,,,,19.5,-349241.625,-31217.240234375,12374.720703125,-31212.62890625,-2535.30126953125,
,,,,,,19.75,-344638.5625,-30902.5390625,11853.078125,-30877.93359375,-2425.64404296875,
,,,,,,20,-340419.5625,-30565.837890625,11344.4365234375,-30529.23828125,-2330.4873046875,
,,,,,,20.25,-336616.5,-30215.13671875,10876.7939453125,-30180.541015625,-2239.830078125,
,,,,,,20.5,-333197.5,-29784.4375,10343.15234375,-29755.845703125,-2241.1728515625,
,,,,,,20.75,-330098.4375,-29225.736328125,9649.509765625,-29187.1484375,-2410.01611328125,
,,,,,,21,-327383.4375,-28555.03515625,8837.8681640625,-28506.453125,-2749.85888671875,
,,,,,,21.25,-324972.375,-27812.333984375,7971.22607421875,-27765.755859375,-3204.20166015625,
,,,,,,21.5,-322673.375,-27055.6328125,7076.583984375,-27019.060546875,-3689.54443359375,
,,,,,,21.75,-320406.3125,-26330.93359375,6206.94140625,-26298.36328125,-4182.3876953125,
,,,,,,22,-318219.3125,-25648.232421875,5363.2998046875,-25621.66796875,-4738.23046875,
,,,,,,22.25,-316272.25,-25057.53125,4517.6572265625,-25026.970703125,-5379.0732421875,
,,,,,,22.5,-314565.25,-24578.830078125,3732.01538085938,-24530.275390625,-6030.916015625,
,,,,,,22.75,-313034.1875,-24164.12890625,3065.37329101563,-24091.580078125,-6574.75927734375,
,,,,,,23,-311727.1875,-23761.4296875,2484.73120117188,-23686.8828125,-6973.60205078125,
,,,,,,23.25,-310628.125,-23350.728515625,1948.08911132813,-23298.1875,-7349.9453125,
,,,,,,23.5,-309737.09375,-22944.02734375,1426.44702148438,-22921.490234375,-7827.2880859375,
,,,,,,23.75,-308990.0625,-22611.326171875,903.804931640625,-22600.794921875,-8395.630859375,
,,,,,,24,-308195.03125,-22394.625,403.162841796875,-22366.09765625,-8973.9736328125,
,,,,,,24.25,-307144,-22241.92578125,-29.479248046875,-22191.40234375,-9495.31640625,
