Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
,,,,,,8,593574.625,-10084.74805,-89.15045166,-10055.8457,24219.47656
,,,,,,8.25,576330.25,-9824.264648,65.09338379,-9800.356445,23608.85156
,,,,,,8.5,560117.875,-9501.780273,214.3371582,-9485.866211,23080.72266
,,,,,,8.75,544905.5625,-9188.295898,410.5809326,-9181.376953,22710.09375
,,,,,,9,530605.1875,-8916.811523,712.8248291,-8915.886719,22507.96875
,,,,,,9.25,517136.8125,-8674.328125,1125.068604,-8682.396484,22409.83984
,,,,,,9.5,504324.4375,-8460.84375,1606.3125,-8473.90625,22354.71484
,,,,,,9.75,492000.0625,-8266.359375,2098.556152,-8279.416992,22322.58594
,,,,,,10,480163.6875,-8039.875,2535.800049,-8057.926758,22291.96094
,,,,,,10.25,468871.3125,-7780.390625,2883.043945,-7804.436523,22247.83203
,,,,,,10.5,458186.9375,-7531.90625,3160.287598,-7555.946289,22195.70313
,,,,,,10.75,448022.5625,-7289.422852,3410.53125,-7308.457031,22119.07813
,,,,,,11,438258.25,-7037.938477,3655.775391,-7056.966797,21997.94922
,,,,,,11.25,428757.875,-6852.454102,3909.019043,-6859.476563,21862.82422
,,,,,,11.5,419473.5,-6805.969727,4204.262695,-6782.986328,21735.69531
,,,,,,11.75,410445.125,-6854.485352,4563.506836,-6802.49707,21601.57031
,,,,,,12,400024.75,-6862.001953,5003.750488,-6798.006836,21318.44141
,,,,,,12.25,354180.375,-6221.517578,5909.994141,-6164.516602,18436.3125
,,,,,,12.5,164280,-4008.033203,8328.238281,-3978.026367,6244.6875
,,,,,,12.75,-223596.3438,-1094.548828,12454.48145,-1094.537109,-16596.94141
,,,,,,13,-658256.75,284.9350586,16614.72656,266.953125,-38704.07031
,,,,,,13.25,-957461.0625,-181.5805664,19379.96875,-201.5571289,-49991.69531
,,,,,,13.5,-1096249.5,-1235.096191,20842.21289,-1241.066895,-51517.82031
,,,,,,13.75,-1137645.75,-2132.612305,21599.45703,-2117.577148,-48387.94922
,,,,,,14,-1135906.25,-2800.12793,22079.70117,-2777.086914,-43948.57813
,,,,,,14.25,-1118694.5,-3351.643555,22469.94531,-3334.59668,-39593.70313
,,,,,,14.5,-1096555,-3814.15918,22745.18945,-3799.107422,-35727.83203
,,,,,,14.75,-1072607.25,-4116.675781,22835.43164,-4094.617188,-32389.45898
,,,,,,15,-1047635.625,-4240.191406,22777.67578,-4211.126953,-29474.08594
,,,,,,15.25,-1021976,-4266.707031,22696.91992,-4237.636719,-26836.21289
,,,,,,15.5,-996124.375,-4302.222656,22683.16406,-4275.147461,-24386.83984
,,,,,,15.75,-970640.75,-4406.738281,22760.4082,-4385.657227,-22097.46875
,,,,,,16,-945829.125,-4574.254883,22888.65039,-4565.166992,-19967.0957
,,,,,,16.25,-921897.5,-4749.770508,22995.89453,-4741.676758,-18002.72266
,,,,,,16.5,-899085.875,-4863.286133,23044.13867,-4852.1875,-16237.34961
,,,,,,16.75,-877474.25,-4872.801758,22978.38281,-4866.697266,-14747.47656
